,Slice,x-grid,y-grid,Position,Poren,num Black pixels
0,340,0,0,0,0,91
1,340,0,1,0,1,1328
2,340,0,2,-1,0,0
3,340,1,0,0,1,242
4,340,1,1,0,1,362
5,340,1,2,-1,0,0
6,340,2,0,-1,0,0
7,340,2,1,-1,0,0
8,340,2,2,-1,0,0
9,341,0,0,0,0,74
10,341,0,1,0,0,4
11,341,0,2,-1,0,0
12,341,1,0,0,0,107
13,341,1,1,0,1,176
14,341,1,2,-1,0,0
15,341,2,0,-1,0,0
16,341,2,1,-1,0,0
17,341,2,2,-1,0,0
18,342,0,0,0,0,75
19,342,0,1,0,0,32
20,342,0,2,-1,0,0
21,342,1,0,0,0,115
22,342,1,1,0,1,669
23,342,1,2,-1,0,0
24,342,2,0,-1,0,0
25,342,2,1,-1,0,0
26,342,2,2,-1,0,0
27,343,0,0,0,0,63
28,343,0,1,0,1,200
29,343,0,2,-1,0,0
30,343,1,0,0,1,318
31,343,1,1,0,1,650
32,343,1,2,-1,0,0
33,343,2,0,-1,0,0
34,343,2,1,-1,0,0
35,343,2,2,-1,0,0
36,344,0,0,0,0,33
37,344,0,1,0,1,201
38,344,0,2,-1,0,0
39,344,1,0,0,0,93
40,344,1,1,0,0,94
41,344,1,2,-1,0,0
42,344,2,0,-1,0,0
43,344,2,1,-1,0,0
44,344,2,2,-1,0,0
45,345,0,0,0,0,23
46,345,0,1,0,1,126
47,345,0,2,-1,0,0
48,345,1,0,0,0,42
49,345,1,1,0,1,217
50,345,1,2,-1,0,0
51,345,2,0,-1,0,0
52,345,2,1,-1,0,0
53,345,2,2,-1,0,0
54,346,0,0,0,0,28
55,346,0,1,0,0,93
56,346,0,2,-1,0,0
57,346,1,0,0,0,46
58,346,1,1,0,1,208
59,346,1,2,-1,0,0
60,346,2,0,0,0,0
61,346,2,1,0,0,0
62,346,2,2,-1,0,0
63,347,0,0,0,0,98
64,347,0,1,0,0,38
65,347,0,2,-1,0,0
66,347,1,0,0,0,31
67,347,1,1,0,1,385
68,347,1,2,-1,0,0
69,347,2,0,0,0,0
70,347,2,1,0,0,0
71,347,2,2,-1,0,0
72,348,0,0,0,1,206
73,348,0,1,0,1,176
74,348,0,2,-1,0,0
75,348,1,0,0,1,223
76,348,1,1,0,1,719
77,348,1,2,-1,0,0
78,348,2,0,0,0,0
79,348,2,1,0,0,0
80,348,2,2,-1,0,0
81,349,0,0,0,1,251
82,349,0,1,0,0,114
83,349,0,2,-1,0,0
84,349,1,0,0,1,132
85,349,1,1,0,1,311
86,349,1,2,-1,0,0
87,349,2,0,0,0,0
88,349,2,1,0,0,0
89,349,2,2,-1,0,0
90,350,0,0,0,0,83
91,350,0,1,0,1,186
92,350,0,2,-1,0,0
93,350,1,0,0,1,403
94,350,1,1,0,0,70
95,350,1,2,-1,0,0
96,350,2,0,0,0,0
97,350,2,1,0,0,0
98,350,2,2,-1,0,0
99,351,0,0,0,0,12
100,351,0,1,0,1,216
101,351,0,2,-1,0,0
102,351,1,0,0,1,298
103,351,1,1,0,1,139
104,351,1,2,-1,0,0
105,351,2,0,0,0,0
106,351,2,1,0,0,0
107,351,2,2,-1,0,0
108,352,0,0,0,1,200
109,352,0,1,0,0,118
110,352,0,2,-1,0,0
111,352,1,0,0,0,40
112,352,1,1,0,1,274
113,352,1,2,-1,0,0
114,352,2,0,-1,0,0
115,352,2,1,-1,0,0
116,352,2,2,-1,0,0
117,353,0,0,0,1,353
118,353,0,1,0,0,114
119,353,0,2,-1,0,0
120,353,1,0,0,1,389
121,353,1,1,0,1,157
122,353,1,2,-1,0,0
123,353,2,0,0,0,0
124,353,2,1,-1,0,0
125,353,2,2,-1,0,0
126,354,0,0,0,1,321
127,354,0,1,0,0,22
128,354,0,2,-1,0,0
129,354,1,0,0,1,243
130,354,1,1,0,0,62
131,354,1,2,-1,0,0
132,354,2,0,-1,0,0
133,354,2,1,-1,0,0
134,354,2,2,-1,0,0
135,355,0,0,0,0,77
136,355,0,1,0,0,9
137,355,0,2,-1,0,0
138,355,1,0,0,1,466
139,355,1,1,0,0,17
140,355,1,2,-1,0,0
141,355,2,0,-1,0,0
142,355,2,1,-1,0,0
143,355,2,2,-1,0,0
144,356,0,0,0,0,55
145,356,0,1,0,0,32
146,356,0,2,-1,0,0
147,356,1,0,0,1,840
148,356,1,1,0,0,19
149,356,1,2,-1,0,0
150,356,2,0,-1,0,0
151,356,2,1,-1,0,0
152,356,2,2,-1,0,0
153,357,0,0,0,0,18
154,357,0,1,0,0,110
155,357,0,2,-1,0,0
156,357,1,0,0,1,832
157,357,1,1,0,0,14
158,357,1,2,-1,0,0
159,357,2,0,-1,0,0
160,357,2,1,-1,0,0
161,357,2,2,-1,0,0
162,358,0,0,0,0,60
163,358,0,1,0,0,91
164,358,0,2,-1,0,0
165,358,1,0,0,1,303
166,358,1,1,0,0,74
167,358,1,2,-1,0,0
168,358,2,0,-1,0,0
169,358,2,1,0,0,0
170,358,2,2,-1,0,0
171,359,0,0,0,0,104
172,359,0,1,0,0,65
173,359,0,2,-1,0,0
174,359,1,0,0,0,96
175,359,1,1,0,0,32
176,359,1,2,-1,0,0
177,359,2,0,-1,0,0
178,359,2,1,-1,0,0
179,359,2,2,-1,0,0
180,360,0,0,0,0,12
181,360,0,1,0,0,88
182,360,0,2,-1,0,0
183,360,1,0,0,0,33
184,360,1,1,0,0,105
185,360,1,2,-1,0,0
186,360,2,0,-1,0,0
187,360,2,1,-1,0,0
188,360,2,2,-1,0,0
189,361,0,0,0,1,499
190,361,0,1,0,0,50
191,361,0,2,-1,0,0
192,361,1,0,0,1,143
193,361,1,1,0,0,31
194,361,1,2,-1,0,0
195,361,2,0,-1,0,0
196,361,2,1,-1,0,0
197,361,2,2,-1,0,0
198,362,0,0,0,1,644
199,362,0,1,0,1,220
200,362,0,2,-1,0,0
201,362,1,0,0,0,45
202,362,1,1,0,0,16
203,362,1,2,-1,0,0
204,362,2,0,-1,0,0
205,362,2,1,-1,0,0
206,362,2,2,-1,0,0
207,363,0,0,0,1,236
208,363,0,1,0,1,161
209,363,0,2,-1,0,0
210,363,1,0,0,0,21
211,363,1,1,0,0,23
212,363,1,2,-1,0,0
213,363,2,0,-1,0,0
214,363,2,1,-1,0,0
215,363,2,2,-1,0,0
216,364,0,0,0,0,46
217,364,0,1,0,0,111
218,364,0,2,-1,0,0
219,364,1,0,0,0,3
220,364,1,1,0,1,140
221,364,1,2,-1,0,0
222,364,2,0,-1,0,0
223,364,2,1,-1,0,0
224,364,2,2,-1,0,0
