,Slice,x-grid,y-grid,Position,Poren,num Black pixels
0,399,0,0,0,1,340
1,399,0,1,0,1,223
2,399,0,2,0,0,0
3,399,1,0,0,1,404
4,399,1,1,0,1,548
5,399,1,2,0,0,0
6,399,2,0,0,0,0
7,399,2,1,0,0,0
8,399,2,2,-1,0,0
9,400,0,0,0,1,237
10,400,0,1,0,1,252
11,400,0,2,0,0,0
12,400,1,0,0,1,249
13,400,1,1,0,1,418
14,400,1,2,0,0,0
15,400,2,0,0,0,0
16,400,2,1,0,0,0
17,400,2,2,-1,0,0
18,401,0,0,0,1,189
19,401,0,1,0,1,247
20,401,0,2,0,0,0
21,401,1,0,0,1,526
22,401,1,1,0,1,183
23,401,1,2,0,0,0
24,401,2,0,0,0,0
25,401,2,1,0,0,0
26,401,2,2,-1,0,0
27,402,0,0,0,1,180
28,402,0,1,0,1,182
29,402,0,2,0,0,0
30,402,1,0,0,1,392
31,402,1,1,0,1,181
32,402,1,2,0,0,0
33,402,2,0,0,0,0
34,402,2,1,0,0,0
35,402,2,2,-1,0,0
36,403,0,0,0,1,130
37,403,0,1,0,1,126
38,403,0,2,0,0,0
39,403,1,0,0,1,204
40,403,1,1,0,1,146
41,403,1,2,0,0,0
42,403,2,0,0,0,0
43,403,2,1,0,0,0
44,403,2,2,-1,0,0
45,404,0,0,0,0,111
46,404,0,1,0,1,197
47,404,0,2,0,0,0
48,404,1,0,0,1,305
49,404,1,1,0,1,522
50,404,1,2,0,0,0
51,404,2,0,0,0,0
52,404,2,1,0,0,0
53,404,2,2,-1,0,0
54,405,0,0,0,1,204
55,405,0,1,0,1,202
56,405,0,2,0,0,0
57,405,1,0,0,1,327
58,405,1,1,0,1,438
59,405,1,2,0,0,0
60,405,2,0,0,0,0
61,405,2,1,0,0,0
62,405,2,2,-1,0,0
63,406,0,0,0,1,282
64,406,0,1,0,1,851
65,406,0,2,0,0,0
66,406,1,0,0,1,350
67,406,1,1,0,1,512
68,406,1,2,0,0,0
69,406,2,0,0,0,0
70,406,2,1,0,0,0
71,406,2,2,-1,0,0
72,407,0,0,0,1,179
73,407,0,1,0,1,1105
74,407,0,2,0,0,0
75,407,1,0,0,1,253
76,407,1,1,0,1,456
77,407,1,2,0,0,0
78,407,2,0,0,0,0
79,407,2,1,0,0,0
80,407,2,2,-1,0,0
81,408,0,0,0,1,239
82,408,0,1,0,1,826
83,408,0,2,0,0,0
84,408,1,0,0,1,266
85,408,1,1,0,1,236
86,408,1,2,0,0,0
87,408,2,0,0,0,0
88,408,2,1,0,0,0
89,408,2,2,-1,0,0
90,409,0,0,0,1,344
91,409,0,1,0,1,644
92,409,0,2,0,0,0
93,409,1,0,0,1,137
94,409,1,1,0,1,237
95,409,1,2,0,0,0
96,409,2,0,0,0,0
97,409,2,1,0,0,0
98,409,2,2,-1,0,0
99,410,0,0,0,1,206
100,410,0,1,0,1,710
101,410,0,2,0,0,0
102,410,1,0,0,0,76
103,410,1,1,0,1,253
104,410,1,2,0,0,0
105,410,2,0,0,0,0
106,410,2,1,0,0,0
107,410,2,2,-1,0,0
108,411,0,0,0,1,146
109,411,0,1,0,1,425
110,411,0,2,0,0,0
111,411,1,0,0,1,152
112,411,1,1,0,1,413
113,411,1,2,0,0,0
114,411,2,0,0,0,0
115,411,2,1,0,0,0
116,411,2,2,-1,0,0
117,412,0,0,0,1,128
118,412,0,1,0,1,386
119,412,0,2,0,0,0
120,412,1,0,0,1,140
121,412,1,1,0,1,480
122,412,1,2,0,0,0
123,412,2,0,0,0,0
124,412,2,1,0,0,0
125,412,2,2,-1,0,0
126,413,0,0,0,1,129
127,413,0,1,0,1,147
128,413,0,2,0,0,0
129,413,1,0,0,0,69
130,413,1,1,0,1,412
131,413,1,2,0,0,0
132,413,2,0,0,0,0
133,413,2,1,0,0,0
134,413,2,2,-1,0,0
135,414,0,0,0,1,158
136,414,0,1,0,1,183
137,414,0,2,0,0,0
138,414,1,0,0,1,467
139,414,1,1,0,1,635
140,414,1,2,0,0,0
141,414,2,0,0,0,0
142,414,2,1,0,0,0
143,414,2,2,-1,0,0
144,415,0,0,0,1,160
145,415,0,1,0,1,157
146,415,0,2,0,0,0
147,415,1,0,0,1,798
148,415,1,1,0,1,414
149,415,1,2,0,0,0
150,415,2,0,0,0,0
151,415,2,1,0,0,0
152,415,2,2,-1,0,0
153,416,0,0,0,1,345
154,416,0,1,0,0,122
155,416,0,2,0,0,0
156,416,1,0,0,1,1286
157,416,1,1,0,1,309
158,416,1,2,0,0,0
159,416,2,0,0,0,0
160,416,2,1,0,0,0
161,416,2,2,-1,0,0
162,417,0,0,0,1,276
163,417,0,1,0,1,161
164,417,0,2,0,0,0
165,417,1,0,0,1,1185
166,417,1,1,0,1,158
167,417,1,2,0,0,0
168,417,2,0,0,0,0
169,417,2,1,0,0,0
170,417,2,2,-1,0,0
171,418,0,0,0,1,130
172,418,0,1,0,0,120
173,418,0,2,0,0,0
174,418,1,0,0,1,739
175,418,1,1,0,0,69
176,418,1,2,0,0,0
177,418,2,0,0,0,0
178,418,2,1,0,0,0
179,418,2,2,-1,0,0
180,419,0,0,0,1,256
181,419,0,1,0,0,111
182,419,0,2,0,0,0
183,419,1,0,0,1,249
184,419,1,1,0,1,354
185,419,1,2,0,0,0
186,419,2,0,0,0,0
187,419,2,1,0,0,0
188,419,2,2,-1,0,0
189,420,0,0,0,1,193
190,420,0,1,0,0,111
191,420,0,2,0,0,0
192,420,1,0,0,1,152
193,420,1,1,0,1,379
194,420,1,2,0,0,0
195,420,2,0,0,0,0
196,420,2,1,0,0,0
197,420,2,2,-1,0,0
198,421,0,0,0,0,93
199,421,0,1,0,1,150
200,421,0,2,0,0,0
201,421,1,0,0,1,164
202,421,1,1,0,0,124
203,421,1,2,0,0,0
204,421,2,0,0,0,0
205,421,2,1,0,0,0
206,421,2,2,-1,0,0
207,422,0,0,0,1,138
208,422,0,1,0,1,226
209,422,0,2,0,0,0
210,422,1,0,0,1,134
211,422,1,1,0,1,327
212,422,1,2,0,0,0
213,422,2,0,0,0,0
214,422,2,1,0,0,0
215,422,2,2,-1,0,0
216,423,0,0,0,0,78
217,423,0,1,0,1,190
218,423,0,2,0,0,0
219,423,1,0,0,0,118
220,423,1,1,0,1,333
221,423,1,2,0,0,0
222,423,2,0,0,0,0
223,423,2,1,0,0,0
224,423,2,2,-1,0,0
225,424,0,0,0,0,55
226,424,0,1,0,1,385
227,424,0,2,0,0,0
228,424,1,0,0,1,135
229,424,1,1,0,0,102
230,424,1,2,0,0,0
231,424,2,0,0,0,0
232,424,2,1,0,0,0
233,424,2,2,-1,0,0
234,425,0,0,0,1,127
235,425,0,1,0,1,534
236,425,0,2,0,0,0
237,425,1,0,0,1,236
238,425,1,1,0,0,86
239,425,1,2,0,0,0
240,425,2,0,0,0,0
241,425,2,1,0,0,0
242,425,2,2,-1,0,0
243,426,0,0,0,1,169
244,426,0,1,0,1,300
245,426,0,2,0,0,0
246,426,1,0,0,1,420
247,426,1,1,0,1,366
248,426,1,2,0,0,0
249,426,2,0,0,0,0
250,426,2,1,0,0,0
251,426,2,2,-1,0,0
252,427,0,0,0,1,205
253,427,0,1,0,1,279
254,427,0,2,0,0,0
255,427,1,0,0,1,389
256,427,1,1,0,1,456
257,427,1,2,0,0,0
258,427,2,0,0,0,0
259,427,2,1,0,0,0
260,427,2,2,-1,0,0
261,428,0,0,0,1,208
262,428,0,1,0,1,425
263,428,0,2,0,0,0
264,428,1,0,0,1,175
265,428,1,1,0,1,220
266,428,1,2,0,0,0
267,428,2,0,0,0,0
268,428,2,1,0,0,0
269,428,2,2,-1,0,0
270,429,0,0,0,0,109
271,429,0,1,0,1,411
272,429,0,2,0,0,0
273,429,1,0,0,1,251
274,429,1,1,0,1,290
275,429,1,2,0,0,0
276,429,2,0,0,0,0
277,429,2,1,0,0,0
278,429,2,2,-1,0,0
279,430,0,0,0,0,82
280,430,0,1,0,1,178
281,430,0,2,0,0,0
282,430,1,0,0,0,94
283,430,1,1,0,1,188
284,430,1,2,0,0,0
285,430,2,0,0,0,0
286,430,2,1,0,0,0
287,430,2,2,-1,0,0
288,431,0,0,0,1,203
289,431,0,1,0,1,197
290,431,0,2,0,0,0
291,431,1,0,0,1,171
292,431,1,1,0,0,70
293,431,1,2,0,0,0
294,431,2,0,0,0,0
295,431,2,1,0,0,0
296,431,2,2,-1,0,0
297,432,0,0,0,1,156
298,432,0,1,0,1,686
299,432,0,2,0,0,0
300,432,1,0,0,0,102
