,Slice,x-grid,y-grid,Position,Poren,num Black pixels
0,397,0,0,0,0,13
1,397,0,1,0,0,22
2,397,0,2,0,0,0
3,397,1,0,0,0,0
4,397,1,1,0,0,13
5,397,1,2,0,0,0
6,397,2,0,0,0,0
7,397,2,1,0,0,0
8,397,2,2,-1,0,0
9,398,0,0,0,0,0
10,398,0,1,0,0,14
11,398,0,2,0,0,0
12,398,1,0,0,0,5
13,398,1,1,0,0,3
14,398,1,2,0,0,0
15,398,2,0,0,0,0
16,398,2,1,0,0,0
17,398,2,2,-1,0,0
18,399,0,0,0,0,0
19,399,0,1,0,0,21
20,399,0,2,0,0,0
21,399,1,0,0,0,1
22,399,1,1,0,0,8
23,399,1,2,0,0,0
24,399,2,0,0,0,0
25,399,2,1,0,0,0
26,399,2,2,-1,0,0
27,400,0,0,0,0,0
28,400,0,1,0,1,326
29,400,0,2,0,0,0
30,400,1,0,0,0,5
31,400,1,1,0,0,29
32,400,1,2,0,0,0
33,400,2,0,0,0,0
34,400,2,1,0,0,0
35,400,2,2,-1,0,0
36,401,0,0,0,0,3
37,401,0,1,0,1,339
38,401,0,2,0,0,0
39,401,1,0,0,0,39
40,401,1,1,0,0,1
41,401,1,2,0,0,0
42,401,2,0,0,0,0
43,401,2,1,0,0,0
44,401,2,2,-1,0,0
45,402,0,0,0,0,18
46,402,0,1,0,1,232
47,402,0,2,0,0,0
48,402,1,0,0,0,31
49,402,1,1,0,0,14
50,402,1,2,0,0,0
51,402,2,0,0,0,0
52,402,2,1,0,0,0
53,402,2,2,-1,0,0
54,403,0,0,0,0,7
55,403,0,1,0,0,109
56,403,0,2,0,0,0
57,403,1,0,0,0,1
58,403,1,1,0,0,13
59,403,1,2,0,0,0
60,403,2,0,0,0,0
61,403,2,1,0,0,0
62,403,2,2,-1,0,0
63,404,0,0,0,0,15
64,404,0,1,0,0,50
65,404,0,2,0,0,0
66,404,1,0,0,0,0
67,404,1,1,0,0,8
68,404,1,2,0,0,0
69,404,2,0,0,0,0
70,404,2,1,0,0,0
71,404,2,2,-1,0,0
72,405,0,0,0,0,1
73,405,0,1,0,0,26
74,405,0,2,0,0,0
75,405,1,0,0,0,13
76,405,1,1,0,0,32
77,405,1,2,0,0,0
78,405,2,0,0,0,0
79,405,2,1,0,0,0
80,405,2,2,-1,0,0
81,406,0,0,0,0,7
82,406,0,1,0,0,21
83,406,0,2,0,0,0
84,406,1,0,0,0,3
85,406,1,1,0,0,41
86,406,1,2,0,0,0
87,406,2,0,0,0,0
88,406,2,1,0,0,0
89,406,2,2,-1,0,0
90,407,0,0,0,0,3
